time                ,algo ,unpaid_total_amount ,unpaid_algo_amount ,profitability            ,balance
2021-03-29 14:00:00 ,20   ,0.00000744          ,0.00000712         ,0.00009504000000000003   ,
2021-03-29 14:00:00 ,47   ,0.00000744          ,0.00000032         ,0.00009504000000000003   ,
2021-03-29 13:55:00 ,20   ,0.00000711          ,0.00000680         ,0.0000864                ,
2021-03-29 13:55:00 ,47   ,0.00000711          ,0.00000031         ,0.0000864                ,
2021-03-29 13:50:00 ,20   ,0.00000681          ,0.00000651         ,0.00010656000000000001   ,
2021-03-29 13:50:00 ,47   ,0.00000681          ,0.00000030         ,0.00010656000000000001   ,
2021-03-29 13:45:00 ,20   ,0.00000644          ,0.00000615         ,0.00008064               ,
2021-03-29 13:45:00 ,47   ,0.00000644          ,0.00000029         ,0.00008064               ,
2021-03-29 13:40:00 ,20   ,0.00000616          ,0.00000589         ,0.00008064000000000001   ,
2021-03-29 13:40:00 ,47   ,0.00000616          ,0.00000027         ,0.00008064000000000001   ,
2021-03-29 13:35:00 ,20   ,0.00000588          ,0.00000562         ,0.0000864                ,
2021-03-29 13:35:00 ,47   ,0.00000588          ,0.00000026         ,0.0000864                ,
2021-03-29 13:30:00 ,20   ,0.00000558          ,0.00000533         ,0.00010368               ,
2021-03-29 13:30:00 ,47   ,0.00000558          ,0.00000025         ,0.00010368               ,
2021-03-29 13:25:00 ,20   ,0.00000522          ,0.00000499         ,0.00008928               ,
2021-03-29 13:25:00 ,47   ,0.00000522          ,0.00000023         ,0.00008928               ,
2021-03-29 13:20:00 ,20   ,0.00000491          ,0.00000470         ,0.00006336               ,
2021-03-29 13:20:00 ,47   ,0.00000491          ,0.00000021         ,0.00006336               ,
2021-03-29 13:15:00 ,20   ,0.00000469          ,0.00000449         ,0.00008927999999999999   ,
2021-03-29 13:15:00 ,47   ,0.00000469          ,0.00000020         ,0.00008927999999999999   ,
2021-03-29 13:10:00 ,20   ,0.00000438          ,0.00000419         ,0.0000864                ,
2021-03-29 13:10:00 ,47   ,0.00000438          ,0.00000019         ,0.0000864                ,
2021-03-29 13:05:00 ,20   ,0.00000408          ,0.00000392         ,0.00007776               ,
2021-03-29 13:05:00 ,47   ,0.00000408          ,0.00000016         ,0.00007776               ,
2021-03-29 13:00:00 ,20   ,0.00000381          ,0.00000366         ,0.00008352               ,
2021-03-29 13:00:00 ,47   ,0.00000381          ,0.00000015         ,0.00008352               ,
2021-03-29 12:55:00 ,20   ,0.00000352          ,0.00000339         ,0.00009504000000000001   ,
2021-03-29 12:55:00 ,47   ,0.00000352          ,0.00000013         ,0.00009504000000000001   ,
2021-03-29 12:50:00 ,20   ,0.00000319          ,0.00000307         ,0.00010368000000000002   ,
2021-03-29 12:50:00 ,47   ,0.00000319          ,0.00000012         ,0.00010368000000000002   ,
2021-03-29 12:45:00 ,20   ,0.00000283          ,0.00000273         ,0.00012384               ,
2021-03-29 12:45:00 ,47   ,0.00000283          ,0.00000010         ,0.00012384               ,
2021-03-29 12:40:00 ,20   ,0.00000240          ,0.00000232         ,0.00008063999999999999   ,
2021-03-29 12:40:00 ,47   ,0.00000240          ,0.00000008         ,0.00008063999999999999   ,
2021-03-29 12:35:00 ,20   ,0.00000212          ,0.00000205         ,0.00008928000000000001   ,
2021-03-29 12:35:00 ,47   ,0.00000212          ,0.00000007         ,0.00008928000000000001   ,
2021-03-29 12:30:00 ,20   ,0.00000181          ,0.00000175         ,0.00009216               ,
2021-03-29 12:30:00 ,47   ,0.00000181          ,0.00000006         ,0.00009216               ,
2021-03-29 12:25:00 ,20   ,0.00000161          ,0.00000156         ,0.00012096000000000001   ,
2021-03-29 12:25:00 ,47   ,0.00000161          ,0.00000005         ,0.00012096000000000001   ,
2021-03-29 12:20:00 ,20   ,0.00000119          ,0.00000116         ,0.00008927999999999999   ,
2021-03-29 12:20:00 ,47   ,0.00000119          ,0.00000003         ,0.00008927999999999999   ,
2021-03-29 12:15:00 ,20   ,0.00000088          ,0.00000086         ,0.00009216000000000001   ,
2021-03-29 12:15:00 ,47   ,0.00000088          ,0.00000002         ,0.00009216000000000001   ,
2021-03-29 12:10:00 ,20   ,0.00000056          ,0.00000055         ,0                        ,
2021-03-29 12:10:00 ,47   ,0.00000056          ,0.00000001         ,0                        ,
2021-03-29 12:05:00 ,20   ,0.00000033          ,0.00000032         ,0.00009504000000000003   ,
2021-03-29 12:05:00 ,47   ,0.00000033          ,0.00000001         ,0.00009504000000000003   ,
2021-03-29 12:00:00 ,20   ,0.00000000          ,0.00000000         ,0.0000864                ,
2021-03-29 12:00:00 ,47   ,0.00000000          ,0.00000000         ,0.0000864                ,
2021-03-29 11:59:59 ,20   ,0.00001439          ,0.00001377         ,0.0000864                ,
2021-03-29 11:59:59 ,47   ,0.00001439          ,0.00000062         ,0.0000864                ,
2021-03-29 11:55:00 ,20   ,0.00001409          ,0.00001348         ,0.00009792000000000001   ,
2021-03-29 11:55:00 ,47   ,0.00001409          ,0.00000061         ,0.00009792000000000001   ,
2021-03-29 11:50:00 ,20   ,0.00001375          ,0.00001315         ,0.00008064               ,
2021-03-29 11:50:00 ,47   ,0.00001375          ,0.00000060         ,0.00008064               ,
2021-03-29 11:45:00 ,20   ,0.00001347          ,0.00001288         ,0.00008351999999999999   ,
2021-03-29 11:45:00 ,47   ,0.00001347          ,0.00000059         ,0.00008351999999999999   ,
2021-03-29 11:40:00 ,20   ,0.00001318          ,0.00001260         ,0.0000864                ,
2021-03-29 11:40:00 ,47   ,0.00001318          ,0.00000058         ,0.0000864                ,
2021-03-29 11:35:00 ,20   ,0.00001288          ,0.00001231         ,0.00008352000000000001   ,
2021-03-29 11:35:00 ,47   ,0.00001288          ,0.00000057         ,0.00008352000000000001   ,
2021-03-29 11:30:00 ,20   ,0.00001259          ,0.00001203         ,0.0000864                ,
2021-03-29 11:30:00 ,47   ,0.00001259          ,0.00000056         ,0.0000864                ,
2021-03-29 11:25:00 ,20   ,0.00001229          ,0.00001174         ,0.00010368000000000001   ,
2021-03-29 11:25:00 ,47   ,0.00001229          ,0.00000055         ,0.00010368000000000001   ,
2021-03-29 11:20:00 ,20   ,0.00001193          ,0.00001139         ,0.00010368000000000001   ,
2021-03-29 11:20:00 ,47   ,0.00001193          ,0.00000054         ,0.00010368000000000001   ,
2021-03-29 11:15:00 ,20   ,0.00001157          ,0.00001104         ,0.00008640000000000001   ,
2021-03-29 11:15:00 ,47   ,0.00001157          ,0.00000053         ,0.00008640000000000001   ,
2021-03-29 11:10:00 ,20   ,0.00001127          ,0.00001076         ,0.00011808000000000002   ,
2021-03-29 11:10:00 ,47   ,0.00001127          ,0.00000051         ,0.00011808000000000002   ,
2021-03-29 11:05:00 ,20   ,0.00001086          ,0.00001038         ,0.00008064               ,
2021-03-29 11:05:00 ,47   ,0.00001086          ,0.00000048         ,0.00008064               ,
2021-03-29 11:00:00 ,20   ,0.00001058          ,0.00001011         ,0.00009216000000000001   ,
2021-03-29 11:00:00 ,47   ,0.00001058          ,0.00000047         ,0.00009216000000000001   ,
2021-03-29 10:55:00 ,20   ,0.00001026          ,0.00000981         ,0.00008928000000000001   ,
2021-03-29 10:55:00 ,47   ,0.00001026          ,0.00000045         ,0.00008928000000000001   ,
2021-03-29 10:50:00 ,20   ,0.00000995          ,0.00000951         ,0.00010080000000000001   ,
2021-03-29 10:50:00 ,47   ,0.00000995          ,0.00000044         ,0.00010080000000000001   ,
2021-03-29 10:45:00 ,20   ,0.00000960          ,0.00000920         ,0.00011232000000000001   ,
2021-03-29 10:45:00 ,47   ,0.00000960          ,0.00000040         ,0.00011232000000000001   ,
2021-03-29 10:40:00 ,20   ,0.00000921          ,0.00000882         ,0.00008064000000000001   ,
2021-03-29 10:40:00 ,47   ,0.00000921          ,0.00000039         ,0.00008064000000000001   ,
2021-03-29 10:35:00 ,20   ,0.00000893          ,0.00000855         ,0.00010367999999999998   ,
2021-03-29 10:35:00 ,47   ,0.00000893          ,0.00000038         ,0.00010367999999999998   ,
2021-03-29 10:30:00 ,20   ,0.00000857          ,0.00000820         ,0.00009216               ,
2021-03-29 10:30:00 ,47   ,0.00000857          ,0.00000037         ,0.00009216               ,
2021-03-29 10:25:00 ,20   ,0.00000832          ,0.00000796         ,0.00008928000000000001   ,
2021-03-29 10:25:00 ,47   ,0.00000832          ,0.00000036         ,0.00008928000000000001   ,
2021-03-29 10:20:00 ,20   ,0.00000796          ,0.00000761         ,0.00007488000000000001   ,
2021-03-29 10:20:00 ,47   ,0.00000796          ,0.00000035         ,0.00007488000000000001   ,
2021-03-29 10:15:00 ,20   ,0.00000770          ,0.00000736         ,0.00006624               ,
2021-03-29 10:15:00 ,47   ,0.00000770          ,0.00000034         ,0.00006624               ,
2021-03-29 10:10:00 ,20   ,0.00000747          ,0.00000714         ,0.00008064               ,
2021-03-29 10:10:00 ,47   ,0.00000747          ,0.00000033         ,0.00008064               ,
2021-03-29 10:05:00 ,20   ,0.00000719          ,0.00000687         ,0.00008064               ,
2021-03-29 10:05:00 ,47   ,0.00000719          ,0.00000032         ,0.00008064               ,
2021-03-29 10:00:00 ,20   ,0.00000691          ,0.00000660         ,0.00008064000000000001   ,
2021-03-29 10:00:00 ,47   ,0.00000691          ,0.00000031         ,0.00008064000000000001   ,
2021-03-29 09:55:00 ,20   ,0.00000663          ,0.00000635         ,0.00008352               ,
2021-03-29 09:55:00 ,47   ,0.00000663          ,0.00000028         ,0.00008352               ,
